game,date,Tm,W/L,R,RA,Inn,W-L,Rank,GB,Win,Loss,Save,Time,D/N,Attendance,cLI,Streak,opp,sp h,sp a,result and moneyline,ou
162,Sunday Sep 29,MIL,L-wo,3,4,13,89-73,2,2,Shaw,Faria,,4:02,D,36771,2.54,---, @ COL,Adrian Houser (R),Jeff Hoffman (R),L -192,U 12.5
161,Saturday Sep 28,MIL,L-wo,2,3,10,89-72,2,1,Diaz,Albers,,3:00,N,47381,2.46,--, @ COL,Gio Gonzalez (L),Chi Chi Gonzalez (R),L -172,U 13
160,Friday Sep 27,MIL,L,7,11,,89-71,2,1,Senzatela,Black,,3:33,N,44087,2.24,-, @ COL,Zach Davies (R),Antonio Senzatela (R),L -150,O 12.5
159,Thursday Sep 26,MIL,W,5,3,,89-70,2,1,Anderson,Castillo,Hader,2:50,D,27774,1.63,+++++++, @ CIN,Chase Anderson (R),Luis Castillo (R),W 107,P 8
158,Wednesday Sep 25,MIL,W,9,2,,88-70,2,1.5,Lyles,Mahle,,3:01,N,16530,0.79,++++++, @ CIN,Jordan Lyles (R),Tyler Mahle (R),W -139,O 9
157,Tuesday Sep 24,MIL,W,4,2,,87-70,2,2.5,Suter,Gray,Hader,2:52,N,14778,0.61,+++++, @ CIN,Adrian Houser (R),Sonny Gray (R),W 102,U 8
156,Sunday Sep 22,MIL,W,4,3,,86-70,2,3,Gonzalez,Williams,Hader,2:54,D,43321,1.46,++++, PIT,Brandon Woodruff (R),Trevor Williams (R),W -287,U 9
155,Saturday Sep 21,MIL,W,10,1,,85-70,2,3,Suter,Marvel,,3:10,N,42888,2.19,+++, PIT,Zach Davies (R),James Marvel (R),W -251,O 9
154,Friday Sep 20,MIL,W,10,1,,84-70,2,3,Anderson,Brault,,2:59,N,43390,2.54,++, PIT,Chase Anderson (R),Steven Brault (L),W -219,O 9
153,Thursday Sep 19,MIL,W,5,1,,83-70,2,3,Peralta,Lucchesi,Hader,3:05,D,31687,2.66,+, SD,Jordan Lyles (R),Joey Lucchesi (L),W -170,U 8.5
152,Wednesday Sep 18,MIL,L,1,2,,82-70,2,3,Lamet,Houser,Yates,3:01,N,38235,2.95,-, SD,Adrian Houser (R),Dinelson Lamet (R),L -165,U 8.5
151,Tuesday Sep 17,MIL,W,3,1,,82-69,2,2,Albers,Strahm,Pomeranz,2:37,N,34565,2.39,++++, SD,Brandon Woodruff (R),Chris Paddack (R),W -134,U 8
150,Monday Sep 16,MIL,W,5,1,,81-69,3,3,Davies,Richards,,2:35,N,33215,2.33,+++, SD,Zach Davies (R),Garrett Richards (R),W -147,U 9
149,Sunday Sep 15,MIL,W,7,6,,80-69,3,3,Albers,Gant,Hader,3:26,D,46722,2.44,++, @ STL,Chase Anderson (R),Michael Wacha (R),W 132,O 9
148,Saturday Sep 14,MIL,W,5,2,,79-69,3,4,Lyles,Flaherty,Hader,2:59,N,46665,1.94,+, @ STL,Jordan Lyles (R),Jack Flaherty (R),W 186,U 7.5
147,Friday Sep 13,MIL,L,0,10,,78-69,3,5,Wainwright,Houser,,3:12,N,47075,2.54,-, @ STL,Adrian Houser (R),Adam Wainwright (R),L 114,O 8
146,Thursday Sep 12,MIL,W,3,2,,78-68,2,4,Peralta,Smith,Hader,2:59,D,7375,2.04,+++++++, @ MIA,Gio Gonzalez (L),Caleb Smith (L),W -140,U 8
145,Wednesday Sep 11,MIL,W,7,5,,77-68,2,4,Suter,Urena,Hader,3:02,N,7815,1.57,++++++, @ MIA,Zach Davies (R),Pablo Lopez (R),W -133,O 8
144,Tuesday Sep 10,MIL,W,4,3,,76-68,3,5,Guerra,Conley,Pomeranz,3:20,N,7215,1.16,+++++, @ MIA,Chase Anderson (R),Elieser Hernandez (R),W -172,U 8.5
143,Monday Sep 9,MIL,W,8,3,,75-68,3,6,Albers,Dugger,,4:08,N,6672,0.96,++++, @ MIA,Jordan Lyles (R),Robert Dugger (R),W -227,O 8.5
142,Sunday Sep 8,MIL,W,8,5,,74-68,3,6.5,Suter,Lester,Hader,3:09,D,44217,0.98,+++, CHC,Adrian Houser (R),Jon Lester (L),W -122,O 9
141,Saturday Sep 7,MIL,W-wo,3,2,,73-68,3,6.5,Hader,Kintzler,,3:35,N,44323,0.78,++, CHC,Gio Gonzalez (L),Yu Darvish (R),W 101,U 9
140,Friday Sep 6,MIL,W,7,1,,72-68,3,6.5,Davies,Hamels,,2:51,N,38139,0.55,+, CHC,Zach Davies (R),Cole Hamels (L),W 100,U 9.5
